;Marque;Année;Code Postal;Carburant;Emission Co2;Transmission;nbPortes;nbPlace;Kilométrage;Prix
6339;BMW;2019;62;Diesel;110-130;Manuelle;5;5;40374;27490
6378;BMW;2021;86;Diesel;110-130;Manuelle;5;5;66326;27240
6419;BMW;2018;55;Diesel;110-130;Manuelle;5;5;78388;25060
6425;BMW;2017;1;Diesel;110-130;Manuelle;5;5;105503;30760
6428;BMW;2019;59;Diesel;110-130;Manuelle;5;5;88897;22940
6467;BMW;2019;49;Diesel;110-130;Manuelle;5;5;54293;26230
6474;BMW;2015;50;Diesel;110-130;Manuelle;5;5;153133;22190
6483;BMW;2019;44;Diesel;110-130;Manuelle;5;5;90176;26080
6496;BMW;2017;26;Diesel;110-130;Manuelle;5;5;38491;25510
6499;BMW;2019;81;Diesel;110-130;Manuelle;5;5;62699;21820
6528;BMW;2020;91;Diesel;110-130;Manuelle;5;5;31388;33040
6545;BMW;2019;86;Diesel;110-130;Manuelle;5;5;54233;25130
6559;BMW;2016;59;Diesel;110-130;Manuelle;5;5;111320;36280
6582;BMW;2019;17;Diesel;110-130;Manuelle;5;5;47927;29490
6593;BMW;2016;31;Diesel;110-130;Manuelle;5;5;66856;33260
6615;BMW;2017;65;Diesel;110-130;Manuelle;5;5;52334;21830
6634;BMW;2019;12;Diesel;110-130;Manuelle;5;5;45520;30120
6741;BMW;2015;78;Diesel;110-130;Manuelle;5;5;132980;18880
6755;BMW;2019;49;Diesel;110-130;Manuelle;5;5;41220;24385
6794;BMW;2018;64;Diesel;110-130;Manuelle;5;5;54035;18900
6818;BMW;2018;73;Diesel;110-130;Manuelle;5;5;33550;18850
6832;BMW;2019;69;Diesel;110-130;Manuelle;5;5;40090;25990
6939;BMW;2017;45;Diesel;110-130;Manuelle;5;5;55730;30360
6944;BMW;2017;95;Diesel;110-130;Manuelle;5;5;53080;24600
6993;BMW;2019;53;Diesel;110-130;Manuelle;5;5;108401;20690
7092;BMW;2018;59;Diesel;110-130;Manuelle;5;5;107880;19820
7096;BMW;2017;21;Diesel;110-130;Manuelle;5;5;28788;29290
7123;BMW;2018;83;Diesel;110-130;Manuelle;5;5;54408;19790
7135;BMW;2018;83;Diesel;110-130;Manuelle;5;5;34596;21790
7144;BMW;2018;78;Diesel;110-130;Manuelle;5;5;39709;28800
7160;BMW;2018;83;Diesel;110-130;Manuelle;5;5;20343;34790
7212;BMW;2014;44;Diesel;110-130;Manuelle;5;5;120915;25340
7215;BMW;2020;35;Diesel;110-130;Manuelle;5;5;63847;33560
7287;BMW;2013;66;Diesel;110-130;Manuelle;5;5;111488;24260
7416;BMW;2018;33;Diesel;110-130;Manuelle;5;5;54840;38060
7490;BMW;2020;80;Diesel;110-130;Manuelle;5;5;79319;25130
7618;BMW;2018;95;Diesel;110-130;Manuelle;5;5;69790;29140
7620;BMW;2011;42;Diesel;110-130;Manuelle;5;5;175843;8460
7641;BMW;2016;69;Diesel;110-130;Manuelle;5;5;90071;27810
7663;BMW;2019;88;Diesel;110-130;Manuelle;5;5;79303;22410
7673;BMW;2019;13;Diesel;110-130;Manuelle;5;5;34359;34900
7677;BMW;2018;44;Diesel;110-130;Manuelle;5;5;58850;25890
7705;BMW;2021;79;Diesel;110-130;Manuelle;5;5;4500;35890
7726;BMW;2018;77;Diesel;110-130;Manuelle;5;5;37158;24480
7737;BMW;2015;45;Diesel;110-130;Manuelle;5;5;83010;17490
7781;BMW;2017;32;Diesel;110-130;Manuelle;5;5;49611;22180
7796;BMW;2016;59;Diesel;110-130;Manuelle;5;5;85495;27990
7818;BMW;2015;14;Diesel;110-130;Manuelle;5;5;135144;22480
7823;BMW;2017;44;Diesel;110-130;Manuelle;5;5;37425;25470
7841;BMW;2017;67;Diesel;110-130;Manuelle;5;5;17871;23310
7867;BMW;2017;59;Diesel;110-130;Manuelle;5;5;41536;39760
7877;BMW;2017;77;Diesel;110-130;Manuelle;5;5;91023;18570
7880;BMW;2015;29;Diesel;110-130;Manuelle;5;5;138114;21780
7922;BMW;2015;40;Diesel;110-130;Manuelle;5;5;146192;16950
7928;BMW;2021;85;Diesel;110-130;Manuelle;5;5;111;50270
7952;BMW;2019;62;Diesel;110-130;Manuelle;5;5;65625;25110
7961;BMW;2012;63;Diesel;110-130;Manuelle;5;5;192000;11400
8194;BMW;2019;57;Essence;110-130;Manuelle;5;5;45352;19710
8369;BMW;2017;57;Essence;110-130;Manuelle;5;5;59614;30840
8556;BMW;2019;92;Essence;110-130;Manuelle;5;5;61040;28260
8628;BMW;2017;69;Essence;110-130;Manuelle;5;5;134540;22300
8823;BMW;2019;78;Essence;110-130;Manuelle;5;5;113680;13900
8831;BMW;2017;41;Essence;110-130;Manuelle;5;5;176130;5680
8839;BMW;2016;6;Essence;110-130;Manuelle;5;5;36684;23580
8863;BMW;2013;75;Essence;110-130;Manuelle;5;5;5272;24390
8864;BMW;2019;67;Essence;110-130;Manuelle;5;5;7802;28780
8949;BMW;2019;77;Essence;110-130;Manuelle;5;5;952;24380
8957;BMW;2017;57;Essence;110-130;Manuelle;5;5;145000;17360
8998;BMW;2018;79;Essence;110-130;Manuelle;5;5;172992;8460
9047;BMW;2017;37;Essence;110-130;Manuelle;5;5;21525;28850
9062;BMW;2019;78;Essence;110-130;Manuelle;5;5;258206;8520
9084;BMW;2018;6;Essence;110-130;Manuelle;5;5;52380;18460
9085;BMW;2017;31;Essence;110-130;Manuelle;5;5;81645;24160
9118;BMW;2019;79;Essence;110-130;Manuelle;5;5;13599;19010
9172;BMW;2017;67;Essence;110-130;Manuelle;5;5;67534;27340
9204;BMW;2019;32;Essence;110-130;Manuelle;5;5;107100;9800
9227;BMW;2019;67;Essence;110-130;Manuelle;5;5;155000;3490
9286;BMW;2018;40;Essence;110-130;Manuelle;5;5;191917;8470
9314;BMW;2016;77;Essence;110-130;Manuelle;5;5;101480;18860
9315;BMW;2017;40;Essence;110-130;Manuelle;5;5;214200;13090
