Marque;Model;Année;Kilométrage;Code Postal;Prix
MINI COUNTRYMAN 2;II ONE 102 6CV BV6;2019;94037;57;21390
MINI COUNTRYMAN 2;II COOPER ALL4 136 BVA8;2018;22818;69;32980
BMW SERIE 5 G31 TOURING;(G31) TOURING 520DA 190 SPORT;2016;138880;59;37180
PEUGEOT 208;(2) 1.2 PURETECH 110 S&S ALLURE 3P;2016;69000;78;13660
MERCEDES CLASSE C 4 COUPE;IV COUPE 220 D SPORTLINE 9G-TRONIC;2018;89276;66;37960
PEUGEOT 308 (2E GENERATION) SW;II SW 1.6 BLUEHDI 120 S&S ALLURE;2018;59110;10;16780
NISSAN QASHQAI 2;II 1.5 DCI 110 ACENTA;2015;148592;66;10380
VOLKSWAGEN GOLF 7 GTI;VII 2.0 TSI 230 BLUEMOTION TECHNOLOGY GTI PERFORMANCE 3P;2015;72900;67;24780
ASTON MARTIN DB11;5.2 BITURBO V12;2018;40112;75;163500
FERRARI ROMA;COUPE 3.9 DCT;2020;7966;95;371980
PEUGEOT 208 (2E GENERATION);II 1.2 PURETECH 100 S&S ALLURE;2021;26071;72;23050
AUDI A4 (5E GENERATION) AVANT;V AVANT 2.0 TDI 150 BUSINESS LINE S TRONIC;2016;76959;35;26990
MERCEDES CLASSE A 4 AMG;IV 35 AMG 4MATIC;2018;50774;66;57970
MERCEDES GLA;220 D BUSINESS EXECUTIVE 4MATIC 7G-DCT;2017;68516;78;35570
PORSCHE MACAN;3.0 V6 S DIESEL;2017;72240;63;60250
PEUGEOT 2008;(2) 1.5 BLUEHDI 120 S&S ALLURE BUSINESS EAT6;2017;95811;69;15840
TOYOTA COROLLA 12 TREK;VII TREK;2018;14753;66;24590
PEUGEOT 208 (2E GENERATION);II 1.2 PURETECH 100 S&S GT;2022;1;42;25850
MERCEDES GLC;250 EXECUTIVE 4MATIC BVA9;2018;87794;35;47980
PEUGEOT 3008 (2E GENERATION);II 2.0 BLUEHDI 180 S&S GT EAT6;2018;110716;78;26690
NISSAN JUKE;(2) 1.2 DIG-T 115 N-CONNECTA;2017;57000;24;13560
AUDI A8 (3E GENERATION);III (2) V6 3.0 TDI 258 QUATTRO TIPTRONIC 8;2015;196128;37;34140
AUDI A5;(2) 3.0 V6 TDI 218 S LINE QUATTRO S TRONIC;2014;79704;24;30220
